u"It isn't."	'Note to self: when eating at a BBQ place, get the stupid BBQ. This steak is awful :(\n'
u"This is the best nail salon I've ever been to."	'Some of these reviews are a joke...don\'t go if it\'s windy, staff looks "questionable"...lines too long on OPENING week. News flash: If every single place you review is the worst place ever, you\'re a troll. The store is great.\n'
u"It's not the best I've had, but it'll do for when you have a craving for boba on this side of town."	'Happy hour 5pm-7pm daily, second smoothie is $1.99.\n'
u"I've been coming here since November 2010 :)) When I first came here it was 6am on Thanksgiving day..."	'Avocolada!!! Best!!\n'
u"I've been coming here since November 2010 :)) When I first came here it was 6am on Thanksgiving day..."	'Happy hour 5-7pm 50% off 2nd smoothie\n'
u'Then our food came out and he said that all we had to wait for was my shake.'	"Ask for thick because sometimes it's watery.\n"
u"anyway, I let it go & figured they would just sit down and f'n relax in a second.. but because no other massage ppl were there, they had to stop our massage to accommodate the loud ass people."	'not 24 hours\n'
u"anyway, I let it go & figured they would just sit down and f'n relax in a second.. but because no other massage ppl were there, they had to stop our massage to accommodate the loud ass people."	'they are now a 24 hour location\n'
u'I never once used my dishwasher because of the leak from this kitchen sink which was in my initial walk through as well.'	'Gone downhill\n'
u'I had about a fourth of that because it was so delicious.'	'Now open 24 hours!!\n'
u'I was greeted by a tall blackboard with a list of every ingredient in the place that can be thrown on a burger.'	'Ask for a discount on anything besides tobacco! They hooked me up with a glass top poker for checking in too!\n'
u'Look if your looking for a healthier and cleaner eating experience this is the place for you!There is so much I want to say about this place but what comes to mind each and every time are those damn pretzels.'	'Eat and enjoy everything\n'
u'Small place.'	'Awesome little lunch spot in Old Mtl\n'
u'The star of this place is definitely the French toast with fried chicken.'	'Great place for lunch. Awesome sandwiches & Not too pricey\n'
u"I could not call because we picked it up just before they closed and the time we got home and cooked them they were gone or didn't answer at least.Tonight was not a very good expanse one crew member was very short and rude."	'There pulled pork is so good and there homemade brownies are out standing. This is some of the best BBQ I have had in a long time.\n'
u'The food was great.'	'Why are the cashiers stupid?\n'
u"It's always a good idea!"	'Gotta love bacchanal! Do you have your stretchy eating pants on???\n'
u"But it was all free for us so it's all good."	'After golf time to grind!!!\n'
u"But it was all free for us so it's all good."	'Time to eat\n'
u"And if you have Ono's near you, no need to make the drive out here for this."	"Bring cash. Cash only event. They have ATMs but it's a $4 service charge.\n"
u"And if you have Ono's near you, no need to make the drive out here for this."	'Bring sunscreen, hat, picnic blanket and/or lawn chairs!\n'
u"When it's busy there are too many customers to comfortably look at items (staring at boxes for specs) and you have to wait in line to talk to rep. Then the reps only are aware of items in their area and just have you go to another if something is not in theirs."	'Reasonable sample prices, but a lot of people.\n'
u'I actually told a couple friends that they need to have breakfast here the next time they are in the area.I had the Sundance Omelette!'	'Definitely a place worth visiting! Food and service is great! Thanks Oscar!\n'
u'I actually told a couple friends that they need to have breakfast here the next time they are in the area.I had the Sundance Omelette!'	'This place was amazing. Service was excellent. We will be back next time in Vegas.\n'
u'All in all, a great little place for breakfast.It took me a few trips to Egg & I over the years for the place to grow on me.'	'A local bestie of mine recommended this little gem. Any place locals like is a no brainer!\n'
u'She said that the place was a mess and she was going to have to come out and wait the 15 minutes it was going to take to be seated.'	'Delicious fresh baked bran muffin\n'
u'She said that the place was a mess and she was going to have to come out and wait the 15 minutes it was going to take to be seated.'	'The banana nut muffin, chicken enchilada omelett and the skillet is yummy. I enjoyed all the food. Great place off the strip.\n'
u'I actually told a couple friends that they need to have breakfast here the next time they are in the area.I had the Sundance Omelette!'	'The breakfast was great Lianna our server was polite and prompt\n'
u"I've had lunch here twice now."	'Great selection of quality dogs and fantastic onion rings\n'
u"Mother's Day lunch was fantastic."	"Great ambiance, service & food. Wait time wasn't bad for a great Sunday lunch.\n"
u"I get that they probably need this time of presentation space to draw in young learners but I felt like the science and knowledge wasn't as important in the process."	'they now do dinner! and accept credit and debit!\n'
u"I've eaten there a few times, and I tend not to do an ingredient inventory, but I know that I ate some fish with lots of roasted nuts and clarified butter and it tasted like salty sunshine bouncing off sand, refracting through a tender fish fillet."	'Hangover dreams.\n'
u'Amazing service, gourmet food, live music, cheap drinks, what more could you ask for?'	'Pretty sure the owners and family run the show here! They were amazing, food was amazing, I am completely satisfied and will be back in the near future!\n'
u"Try this place out!Very good, as i have stated before I don't eat meat, they have BROWN rice, veggies, and ORGANIC tofu, service wAs friendly and made a good recommendation, I'm glad to see there is a place across the street from my work where I can get se vegetation and not have to feel guilty about eating it, very good and I'm very impressed, will be returning again!The best, never had a bad experience here, they know me here and treat me well, the food is the way it looks in the photo and the service is outstanding every time, unrivaled."	'2nd day in a row eating here. They always remember me and treat me well. This place REALLY has it together!\n'
u"Try this place out!Very good, as i have stated before I don't eat meat, they have BROWN rice, veggies, and ORGANIC tofu, service wAs friendly and made a good recommendation, I'm glad to see there is a place across the street from my work where I can get se vegetation and not have to feel guilty about eating it, very good and I'm very impressed, will be returning again!The best, never had a bad experience here, they know me here and treat me well, the food is the way it looks in the photo and the service is outstanding every time, unrivaled."	"I'm vegan, when I ate here I thought the angel were calling me.. Enough said.\n"
u"Try this place out!Very good, as i have stated before I don't eat meat, they have BROWN rice, veggies, and ORGANIC tofu, service wAs friendly and made a good recommendation, I'm glad to see there is a place across the street from my work where I can get se vegetation and not have to feel guilty about eating it, very good and I'm very impressed, will be returning again!The best, never had a bad experience here, they know me here and treat me well, the food is the way it looks in the photo and the service is outstanding every time, unrivaled."	'NOW SERVING: Vegan Cupcakes and Ginger Brew!\n'
